Size,FLOPS_avg,FLOPS_std,FLOP,Time_avg
32,43267844.6754343,35325478.25972778,64512,0.0014909917626802257
64,396969782.184387,262457651.1270203,520192,0.0013104070469484197
96,704969066.5650841,416191027.5721885,1760256,0.0024969265794550855
128,3290057419.9065766,3376903162.788079,4177920,0.0012698623357517678
160,7430377545.411658,4885815292.150012,8166400,0.0010990558622479209
192,4033334010.8752494,1538062666.889624,14118912,0.003500556106171862
224,18516126322.010544,3169685578.4552007,22428672,0.0012113047626672606
256,7978567278.347854,2880166220.841594,33488896,0.004197357098295303
288,11875174712.926893,4243518636.06035,47692800,0.004016176700801152
320,13963657987.693466,4300433488.801185,65433600,0.0046859927432817625
352,16703568465.328348,4754620467.59731,87104512,0.0052147247566173135
384,25766580368.906067,12710108742.290428,113098752,0.004389358245476859
416,24930856092.942455,2289202106.9646683,143809536,0.005768335249454602
448,15191444439.982697,1919070549.4903505,179630080,0.011824423984807372
480,20551777654.694706,1998753719.5056977,220953600,0.010751069990752206
512,20426030062.36319,9478663908.979774,268173312,0.013128998203822954
544,24362693730.98347,4227232573.8457055,321682432,0.013203894263584552
576,21172466555.304184,4353995500.667593,381874176,0.01803635750244375
608,20488084897.04732,939757439.7301698,449141760,0.021922095806266837
640,24270660965.075825,4666001760.978074,523878400,0.02158484273476659
672,24559098327.778137,4878545988.546309,606477312,0.024694608242763937
704,26929736205.47435,934401144.5363654,697331712,0.02589448729387273
736,24607102487.887867,6190659919.2723255,796834816,0.03238230979824702
768,21468526851.48102,2715549191.643907,905379840,0.04217242506965688
800,18111364486.520206,3925170862.641547,1023360000,0.05650374938683714
832,22485141150.444946,2849650357.339869,1151168512,0.05119685503852041
864,21225899644.41455,2548952958.0843096,1289198592,0.060737053015288506
896,19591715998.7029,3837683115.898848,1437843456,0.07339037867306747
928,17500992250.46355,844338080.2449597,1597496320,0.09128032840296166
960,19403877509.888393,2381472465.075151,1768550400,0.09114417461658014
992,17864916167.27474,3859699554.5902486,1951398912,0.10923079032268879
1024,20274671006.08305,608622998.0113387,2146435072,0.10586781266911807
