Size,FLOPS_avg,FLOPS_std,FLOP,Time_avg
32,2353493333.3333335,399454803.56216633,64512,2.7411167512690353e-05
64,2325566227.256453,151824400.94584745,520192,0.00022368401892974152
96,2431624076.541116,28264403.40523884,1760256,0.0007239013698630138
128,2086719161.7864914,225084006.5886359,4177920,0.002002147714224841
160,1758607410.793439,131737690.15524168,8166400,0.004643674278795134
192,1972401894.1223,95006069.43481402,14118912,0.0071582328338225315
224,1894861756.7577963,189399110.18709165,22428672,0.011836574314728154
256,1792363097.5774717,223657210.68846604,33488896,0.018684214178066396
288,1938486338.043081,112559657.57991292,47692800,0.024603113813093106
320,1965322499.8195362,104878788.22797985,65433600,0.0332940776925967
352,1804677202.7721539,105835827.46005367,87104512,0.04826597901619153
384,1940564585.83881,18477683.986744836,113098752,0.05828136451903404
416,1862453220.691515,40370213.26609661,143809536,0.07721511305749983
448,1527682662.1897147,123179655.04057284,179630080,0.11758337280762614
480,1741186312.913559,84926854.35401,220953600,0.12689830971062155
512,1863416550.069939,104383932.61654423,268173312,0.14391484930727633
544,1839685944.03598,39948488.38230229,321682432,0.17485725378445824
576,1799607817.066522,24123433.718592793,381874176,0.21219855369514887
608,1714089166.227872,94866666.75828247,449141760,0.26202940246592216
640,1733058148.9132025,30126001.808300592,523878400,0.3022855293854526
672,1649660222.2612216,123454835.44385116,606477312,0.3676377134005751
704,1643710543.7751815,18070323.441297308,697331712,0.42424240365241433
736,1577174698.1372,18235733.19218503,796834816,0.50522926657468
768,1508256096.8645241,26909906.6596912,905379840,0.6002825659927193
800,1145177090.1904213,414272278.86114264,1023360000,0.8936259804410116
832,1356445060.28539,79400786.31279995,1151168512,0.8486657850763225
864,1391332626.078494,78877016.48085961,1289198592,0.9265926550099228
896,1371769246.7360013,54825513.72165729,1437843456,1.0481671457653803
928,1347791090.36581,39419528.61706793,1597496320,1.1852699809481724
960,1315366186.4680326,40103285.39343788,1768550400,1.3445308372635296
992,583582386.7341185,114041422.03519554,1951398912,3.343827634895811
1024,255843885.51242948,41171865.593310826,2146435072,8.389628181658152
