Size,FLOPS_avg,FLOPS_std,FLOP,Time_avg
32,23148981.566722605,17688517.149200164,64512,0.0027868180642874607
64,1009484289.6724561,258595561.46962658,520192,0.0005153047009466437
96,2942416031.045986,1203406601.0860653,1760256,0.0005982349135632783
128,7187383797.458041,2055255516.861094,4177920,0.0005812852239054777
160,11298117375.325079,3230823614.0941153,8166400,0.0007228106886051031
192,11493672065.308737,5816099361.539476,14118912,0.0012284074158175266
224,9029535311.98316,8090578834.127813,22428672,0.002483923172683621
256,11230612275.47237,4288740779.8096848,33488896,0.0029819296738735845
288,23754646627.874195,7882664475.675244,47692800,0.0020077250883638186
320,22809770066.78069,10209627179.800688,65433600,0.0028686654801178854
352,24022716385.012028,4238841450.24374,87104512,0.0036259226726893063
384,29829361499.877605,6980944307.684827,113098752,0.0037915244012334645
416,21567227879.368122,7313768766.149341,143809536,0.00666796571188329
448,24688432447.02101,3575553551.9034557,179630080,0.00727588032919744
480,23002341661.319702,3722981793.167624,220953600,0.00960570029144256
512,24697474423.826843,4402816937.305124,268173312,0.010858329374005963
544,21194026634.452805,4163177541.2880754,321682432,0.01517797620755445
576,27843131168.610165,10839575012.173992,381874176,0.01371520227690907
608,23177345625.360134,3367383433.2085857,449141760,0.019378481352435764
640,26000323143.902058,6467580658.7237835,523878400,0.020148918807682856
672,25751673953.532257,2809182230.5896945,606477312,0.02355098597063481
704,23074904711.62859,5925680561.8716,697331712,0.030220350667302213
736,26235657557.4543,3885767924.7246904,796834816,0.030372206766877716
768,29375990279.50943,1593396917.2530477,905379840,0.030820402355304685
800,26097309443.22344,1710203694.7673178,1023360000,0.039213237756420556
832,27780915018.757946,2144073776.1455553,1151168512,0.04143738646559049
864,16481106683.222803,10546517764.65415,1289198592,0.07822281699762065
896,24606620583.537323,1765296992.3304114,1437843456,0.05843319488422424
928,26080283925.804596,1878811780.351401,1597496320,0.061253026406640855
960,28275226825.149097,444627744.1953482,1768550400,0.06254769982700835
992,25182238371.54204,941901337.7556114,1951398912,0.07749108253241054
1024,27078045433.550312,1050720086.5730745,2146435072,0.07926846408716481
