Size,UNROLL,FLOPS_avg,FLOPS_std,FLOPS_std_across_trials
32,1,2245270588.235294,702868067.6724708,
32,2,2847367588.9328065,60101281.512393326,
32,4,2936411067.193676,109093090.42901337,
32,8,2599384615.3846154,668379086.7092535,
32,16,2789517241.37931,399490948.3779447,
160,1,2075359470.6530037,156462822.56484848,
160,2,2138504732.8418236,73279310.37925085,
160,4,1991852426.715003,223684745.5807542,
160,8,2208675225.5480766,155868179.88669854,
160,16,2144678014.8722794,154860767.9540057,
288,1,1984780377.0007355,110995052.68898888,
288,2,2136510262.495282,44718245.58653542,
288,4,2058013913.1349614,127183548.99125169,
288,8,2093392475.695803,38680468.98875608,
288,16,2103040009.0131652,57871016.49428595,
416,1,1846920356.3064022,196787089.64267337,
416,2,1833872803.4144897,204536246.0709259,
416,4,1826845360.5387123,68162972.36577994,
416,8,2024136400.5130188,15805364.545420239,
416,16,1976265886.2392075,63135613.385388106,
544,1,1899225218.0228913,50200916.50559864,
544,2,1880686763.7753086,23471480.543409865,
544,4,1865711903.976033,15739063.359184487,
544,8,1806069325.3434856,51281414.92102532,
544,16,1820836339.7781513,96496348.60870026,
672,1,1724110826.9448888,66298232.61239969,
672,2,1746479957.7359474,25453750.793545645,
672,4,1762792074.3044739,17401926.2752826,
672,8,1795268138.669277,14150674.794640347,
672,16,1718063807.8834534,92005210.38007891,
800,1,1588169065.8967438,41403784.90430544,
800,2,1594711481.370519,52882147.20469467,
800,4,1584009467.000549,2484164.391196993,
800,8,1610699137.8987334,5430016.735908983,
800,16,1602233871.2168086,9816137.539216349,
928,1,1422881715.936457,12350879.885768285,
928,2,1204518717.3343627,357265985.0581522,
928,4,1458096931.4577284,27487635.063610554,
928,8,1430069999.5017097,23873134.475838047,
928,16,1168877989.147782,323598643.66160315,
