Size,FLOPS_avg,FLOPS_std,FLOP,Time_avg
32,495470607.7984442,29272771.688284438,64512,0.00013020348530188346
64,429334224.3132279,98178738.74433827,520192,0.0012116248147515146
96,486846962.06234235,62083744.89093256,1760256,0.003615624903035943
128,501896290.4723571,51263073.19072959,4177920,0.008324269533986737
160,408445635.95259625,75763344.00798376,8166400,0.019993848094260906
192,437963884.0901995,5679531.530704303,14118912,0.03223761710244625
224,445441131.08919597,8010385.532610052,22428672,0.050351596281998576
256,429475124.4891123,25653212.687121667,33488896,0.07797633457778759
288,433644129.9826512,32013627.68885527,47692800,0.10998142647960679
320,468269125.57452536,10982889.909965534,65433600,0.1397350293374962
352,433637304.7965274,61244585.018197946,87104512,0.20086950785027927
384,385806176.722943,65344215.177011475,113098752,0.2931491480013785
416,342659435.08520454,62939296.48564284,143809536,0.419686491236527
448,293588956.45128495,18777647.664455097,179630080,0.6118420875609669
480,325593364.9083466,44257516.56618413,220953600,0.6786182515181096
512,315136492.888542,37642581.80436474,268173312,0.850975110949299
544,346510039.55932677,37060592.294553116,321682432,0.928349528946113
576,360417270.09481263,10070583.657423927,381874176,1.0595335120859852
608,300974922.1360206,33269544.57888987,449141760,1.4922896459693007
640,280728444.48431337,14453879.408620294,523878400,1.8661393609840395
672,288112621.70623815,948214.3653476558,606477312,2.1050008444904886
704,289642326.6636823,4806844.021653146,697331712,2.40756149155543
736,283051194.4196627,7517441.656811884,796834816,2.815161467994308
768,284303008.53593576,2772304.1317618014,905379840,3.1845594763924576
800,284657634.75902313,382435.2619120783,1023360000,3.595055515958057
832,261341767.43948588,15337360.183523819,1151168512,4.40483939202927
864,271963225.23299164,11158469.505627414,1289198592,4.7403416064636685
896,278835662.31959707,1710825.052472284,1437843456,5.156598133964537
928,277066617.8909597,5199105.456815384,1597496320,5.765748079505915
960,277258650.1149035,1074946.852158089,1768550400,6.378702339014724
992,223606478.86543754,2504413.353138199,1951398912,8.726933682338952
1024,163852793.67967847,861392.1656089841,2146435072,13.099777085254589
